scenario_id,run_id,decision,reason,correct,time_sec,llm_time_sec,tests_passed,tests_failed,tests_total,canary_error_rate,canary_latency_ms,stable_error_rate,stable_latency_ms,nginx_error_rate,nginx_latency_ms,gh_actions_status,docker_logs,canary_version,log_lines,log_chars
S1,1,DEPLOY,"[Chain OK] Pipeline passed all tests, smoke tests, and security scan. Code coverage is inadequate (8%).",True,8.4866,8.41,12,0,12,0.0,63.0,0.0,64.8,0.0,65.6,success,"172.18.0.1 - - [02/May/2026 19:11:42] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:11:42] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:11:42] ""GET /api/data HTTP/1.1""",stable,30,2068
S1,2,DEPLOY,"[Chain OK] GitHub Actions passed successfully, all tests passed (100% code coverage), no security issues were found, and smoke tests also passed.",True,9.0553,9.035,12,0,12,0.0,64.7,0.0,62.2,0.0,66.2,success,"172.18.0.1 - - [02/May/2026 19:12:58] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:12:58] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:12:58] ""GET /api/data HTTP/1.1""",stable,30,2068
S1,3,DEPLOY,"[Chain OK] Pipeline successfully completed with all tests passing, no security issues found, and smoke tests also passing.",True,9.2347,9.175,12,0,12,0.0,65.2,0.0,66.9,0.0,66.4,success,"172.18.0.5 - - [02/May/2026 19:14:13] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:14:13] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:14:14] ""GET /api/data HTTP/1.1""",stable,30,2069
S1,4,DEPLOY,"[Chain OK] GitHub Actions had a success, all tests passed (12/12), smoke tests also passed, and no security issues were found.",True,9.3599,9.317,12,0,12,0.0,68.1,0.0,68.1,0.0,72.1,success,"172.18.0.1 - - [02/May/2026 19:15:29] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:15:29] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:15:29] ""GET /api/data HTTP/1.1""",stable,30,2068
S1,5,DEPLOY,"[Chain OK] GitHub Actions passed with success, all tests (12/12) passed, smoke tests (0/4) passed and security scan found no issues (0)",True,10.0549,9.992,12,0,12,0.0,65.7,0.0,67.9,0.0,69.5,success,"172.18.0.1 - - [02/May/2026 19:16:46] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:16:46] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:16:46] ""GET /api/data HTTP/1.1""",stable,30,2068
S1,6,DEPLOY,"[Chain OK] GitHub Actions result was successful, all tests passed (12/12), smoke tests passed (0/4), and security scan found no issues (0). Code coverage is still at 8%, which falls below the minimum acceptable threshold of 60%.",True,10.106,10.036,12,0,12,0.0,69.1,0.0,67.8,0.0,68.7,success,"172.18.0.1 - - [02/May/2026 19:18:04] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:18:04] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:18:04] ""GET /api/data HTTP/1.1""",stable,30,2069
S1,7,DEPLOY,"[Chain OK] Pipeline succeeded with all tests passing, smoke tests succeeding and no security issues found.",True,9.6732,9.643,12,0,12,0.0,68.5,0.0,69.5,0.0,70.4,success,"172.18.0.1 - - [02/May/2026 19:19:21] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:19:21] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:19:21] ""GET /api/data HTTP/1.1""",stable,30,2068
S1,8,DEPLOY,"[Chain OK] GitHub Actions was successful, all tests passed, and security scan did not find any issues. However, code coverage is currently at 8%, which is below the minimum acceptable threshold of 60%. Smoke tests also failed with a 0/4 result. Therefore, while deployment can proceed based on some criteria being met, it's crucial to address the low code coverage as soon as possible.",True,11.3489,11.284,12,0,12,0.0,62.8,0.0,64.0,0.0,66.6,success,"172.18.0.1 - - [02/May/2026 19:20:49] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:20:49] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:20:49] ""GET /api/data HTTP/1.1""",stable,30,2068
S1,9,DEPLOY,[Chain OK] GitHub Actions success AND tests passed with 100% code coverage and no security issues found,True,9.8074,9.745,12,0,12,0.0,62.6,0.0,62.9,0.0,68.0,success,"172.18.0.5 - - [02/May/2026 19:22:30] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:22:30] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:22:30] ""GET /api/data HTTP/1.1""",stable,30,2068
S1,10,DEPLOY,"[Chain OK] GitHub Actions resulted in success and all tests (12/12 passed), smoke tests (0/4 passed) and security scan found no issues. Coverage is 8% which is below the minimum acceptable threshold.",True,10.3499,10.259,12,0,12,0.0,62.3,0.0,63.9,0.0,65.6,success,"172.18.0.1 - - [02/May/2026 19:23:46] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:23:47] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:23:47] ""GET /api/data HTTP/1.1""",stable,30,2068
S2,1,BLOCK,"[Delivery agent] GitHub Actions failure, low code coverage (9%), security scan clean but multiple smoke test failures (0/4) and tests are failing with high failure rate.",True,10.2178,10.187,6,6,12,0.0,62.7,0.0,64.3,0.0,64.4,failure,"172.18.0.1 - - [02/May/2026 19:25:25] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:25:25] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:25:25] ""GET /api/data HTTP/1.1""",broken_tests,30,2068
S2,2,BLOCK,"[Delivery agent] GitHub Actions failure and smoke tests failure indicate potential application instability, despite passing tests.",True,10.0994,10.056,6,6,12,0.0,64.0,0.0,64.1,0.0,64.6,failure,"172.18.0.1 - - [02/May/2026 19:26:57] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:26:57] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:26:57] ""GET /api/data HTTP/1.1""",broken_tests,30,2068
S2,3,BLOCK,"[Delivery agent] GitHub Actions failed, resulting in test failures and smoke tests failures, despite acceptable security scan results.",True,9.4732,9.42,6,6,12,0.0,62.9,0.0,64.1,0.0,67.7,failure,"172.18.0.1 - - [02/May/2026 19:28:40] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:28:40] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:28:40] ""GET /api/data HTTP/1.1""",broken_tests,30,2068
S2,4,BLOCK,"[Delivery agent] GitHub Actions failed, smoke tests failed, and low code coverage (9%) despite passing all security scans.",True,9.7742,9.7,6,6,12,0.0,65.4,0.0,65.6,0.0,67.1,failure,"172.18.0.1 - - [02/May/2026 19:30:14] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:30:14] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:30:14] ""GET /api/data HTTP/1.1""",broken_tests,30,2068
S2,5,BLOCK,[Delivery agent] GitHub Actions failure indicates a critical issue and incomplete test coverage (9% coverage) alongside failed smoke tests (0/4),True,9.8386,9.788,9,3,12,0.0,64.4,0.0,65.7,0.0,65.7,failure,"172.18.0.1 - - [02/May/2026 19:31:46] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:31:46] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:31:46] ""GET /api/data HTTP/1.1""",broken_tests,30,2068
S2,6,BLOCK,[Delivery agent] GitHub Actions failure and test results indicate potential issues that need attention.,True,9.6156,9.56,4,8,12,0.0,68.6,0.0,69.6,0.0,72.1,failure,"172.18.0.1 - - [02/May/2026 19:33:19] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:33:19] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:33:19] ""GET /api/data HTTP/1.1""",broken_tests,30,2068
S2,7,BLOCK,"[Delivery agent] Pipeline failed due to GitHub Actions failure and smoke tests failed, indicating a potential issue with the application.",True,9.9598,9.899,7,5,12,0.0,63.4,0.0,61.2,0.0,63.6,failure,"172.18.0.1 - - [02/May/2026 19:34:50] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:34:50] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.4 - - [02/May/2026 19:34:51] ""GET /metrics HTTP/1.1"" ",broken_tests,30,2068
S2,8,BLOCK,"[Delivery agent] GitHub Actions result failed, tests did not pass with a low code coverage and security scan had issues",True,9.858,9.787,5,7,12,0.0,70.1,0.0,67.8,0.0,67.6,failure,"172.18.0.1 - - [02/May/2026 19:36:22] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:36:22] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:36:22] ""GET /api/data HTTP/1.1""",broken_tests,30,2068
S2,9,BLOCK,"[Delivery agent] GitHub Actions failure, smoke tests failed (Passed: 0/4), security scan found 0 issues which is less than the maximum acceptable of 2, and code coverage is at 9% which is below the minimum acceptable of 60%",True,10.2382,10.221,8,4,12,0.0,70.2,0.0,68.9,0.0,72.8,failure,"172.18.0.1 - - [02/May/2026 19:38:15] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:38:15] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:38:15] ""GET /api/data HTTP/1.1""",broken_tests,30,2068
S2,10,BLOCK,"[Delivery agent] GitHub Actions failure, Pytest test results indicate failed tests (5/12) and low code coverage (9%) with security scan not detecting issues and smoke tests failing (0/4)",True,11.2078,11.145,7,5,12,0.0,60.7,0.0,61.9,0.0,63.3,failure,"172.18.0.1 - - [02/May/2026 19:39:48] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:39:48] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:39:48] ""GET /api/data HTTP/1.1""",broken_tests,30,2068
S3,1,CONTINUE,"[Chain OK] Canary: CONTINUE, Monitoring: NONE",True,9.8018,9.801,12,0,12,0.0,68.9,0.0,68.0,0.0,71.5,success,"172.18.0.1 - - [02/May/2026 19:41:11] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:41:11] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:41:11] ""GET /api/data HTTP/1.1""",stable,30,2068
S3,2,CONTINUE,"[Chain OK] Canary: CONTINUE, Monitoring: NONE",True,9.512,9.511,12,0,12,0.0,64.0,0.0,64.0,0.0,65.5,success,"172.18.0.1 - - [02/May/2026 19:42:28] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:42:28] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:42:28] ""GET /api/data HTTP/1.1""",stable,30,2068
S3,3,CONTINUE,"[Chain OK] Canary: CONTINUE, Monitoring: NONE",True,10.6422,10.641,12,0,12,0.0,64.6,0.0,65.8,0.0,66.7,success,"172.18.0.1 - - [02/May/2026 19:43:44] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:43:44] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:43:44] ""GET /api/data HTTP/1.1""",stable,30,2068
S3,4,CONTINUE,"[Chain OK] Canary: CONTINUE, Monitoring: NONE",True,9.5799,9.579,12,0,12,0.0,63.7,0.0,63.7,0.0,68.5,success,"172.18.0.1 - - [02/May/2026 19:45:02] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:45:02] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:45:02] ""GET /api/data HTTP/1.1""",stable,30,2068
S3,5,CONTINUE,"[Chain OK] Canary: CONTINUE, Monitoring: NONE",True,9.4215,9.421,12,0,12,0.0,61.1,0.0,61.1,0.0,62.7,success,"172.18.0.1 - - [02/May/2026 19:46:18] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:46:18] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:46:18] ""GET /api/data HTTP/1.1""",stable,30,2068
S3,6,CONTINUE,"[Chain OK] Canary: CONTINUE, Monitoring: NONE",True,10.4049,10.404,12,0,12,0.0,67.0,0.0,67.6,0.0,71.9,success,"172.18.0.1 - - [02/May/2026 19:47:35] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:47:35] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:47:35] ""GET /api/data HTTP/1.1""",stable,30,2068
S3,7,CONTINUE,"[Chain OK] Canary: CONTINUE, Monitoring: NONE",True,10.6644,10.663,12,0,12,0.0,65.0,0.0,63.6,0.0,67.4,success,"172.18.0.1 - - [02/May/2026 19:48:52] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:48:53] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.4 - - [02/May/2026 19:48:53] ""GET /metrics HTTP/1.1"" ",stable,30,2068
S3,8,CONTINUE,"[Chain OK] Canary: CONTINUE, Monitoring: NONE",True,10.7418,10.741,12,0,12,0.0,67.9,0.0,69.2,0.0,72.3,success,"172.18.0.1 - - [02/May/2026 19:50:10] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:50:10] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:50:11] ""GET /api/data HTTP/1.1""",stable,30,2068
S3,9,CONTINUE,"[Chain OK] Canary: CONTINUE, Monitoring: NONE",True,9.6715,9.671,12,0,12,0.0,66.7,0.0,67.6,0.0,69.7,success,"172.18.0.1 - - [02/May/2026 19:51:28] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:51:28] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:51:29] ""GET /api/data HTTP/1.1""",stable,30,2068
S3,10,CONTINUE,"[Chain OK] Canary: CONTINUE, Monitoring: NONE",True,9.8127,9.812,12,0,12,0.0,65.7,0.0,65.6,0.0,72.8,success,"172.18.0.1 - - [02/May/2026 19:52:45] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.5 - - [02/May/2026 19:52:45] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [02/May/2026 19:52:45] ""GET /api/data HTTP/1.1""",stable,30,2068
S4,1,ROLLBACK,"[Canary: ROLLBACK] Error rate delta of +100.0% and latency delta of +6932.3% indicate significant degradation after Canary rollout, with an unacceptable error rate (100.0%) | [Monitoring: ROLLBACK]",True,9.3732,9.373,6,6,12,1.0,5000.0,0.0,71.1,0.02,174.6,failure,Error response from daemon: No such container: app-canary,broken_latency,1,57
S4,2,ROLLBACK,"[Canary: ROLLBACK] Degradation detected due to 100.0% error rate and 5000 ms average latency, exceeding acceptable thresholds of <5% for error rate and <30% for latency increase. | [Monitoring: NONE]",True,11.2897,11.289,7,5,12,1.0,5000.0,0.0,70.6,0.02,181.2,failure,Error response from daemon: No such container: app-canary,broken_latency,1,57
S4,3,CONTINUE,"[Chain OK] Canary: CONTINUE, Monitoring: INVESTIGATE",False,9.7523,9.751,5,7,12,1.0,5000.0,0.0,71.1,0.02,175.7,failure,Error response from daemon: No such container: app-canary,broken_latency,1,57
